traceId,spanId,parentSpanId,timestamp,srcService,srcRoute,dstService,dstRoute,latency_ms,latency,rps
trace00001,span00001,,2025-11-21 15:00:00.016000+00:00,api-gateway,/v1/profile,profile-service,/getProfile,18.2,18.2,45
trace00001,span00002,span00001,2025-11-21 15:00:00.034000+00:00,profile-service,/getProfile,user-service,/getUser,26.5,26.5,45
trace00001,span00003,span00002,2025-11-21 15:00:00.060000+00:00,user-service,/getUser,db-users,/queryUser,37.9,37.9,45
trace00001,span00004,span00001,2025-11-21 15:00:00.034000+00:00,profile-service,/getProfile,recommendation-service,/getUserRecommendations,52.5,52.5,45
trace00001,span00005,span00004,2025-11-21 15:00:00.086000+00:00,recommendation-service,/getUserRecommendations,db-recommendation,/queryRecs,41.7,41.7,45
trace00001,span00006,span00004,2025-11-21 15:00:00.086000+00:00,recommendation-service,/getUserRecommendations,db-analytics,/updateRecStats,20.2,20.2,45
trace00002,span00007,,2025-11-21 15:00:00.196000+00:00,api-gateway,/v1/login,auth-service,/verify,19.6,19.6,45
trace00002,span00008,span00007,2025-11-21 15:00:00.216000+00:00,auth-service,/verify,cache-service,/checkToken,6.6,6.6,45
trace00002,span00009,span00007,2025-11-21 15:00:00.223000+00:00,auth-service,/verify,user-service,/getUser,9.9,9.9,45
trace00002,span00010,span00009,2025-11-21 15:00:00.233000+00:00,user-service,/getUser,db-users,/queryUser,48.8,48.8,45
trace00002,span00011,span00009,2025-11-21 15:00:00.233000+00:00,user-service,/getUser,db-logs,/insertAuthLog,36.2,36.2,45
trace00003,span00012,,2025-11-21 15:00:00.307000+00:00,api-gateway,/v1/orders,order-service,/createOrder,43.3,43.3,45
trace00003,span00013,span00012,2025-11-21 15:00:00.350000+00:00,order-service,/createOrder,cart-service,/getCart,10.0,10.0,45
trace00003,span00014,span00012,2025-11-21 15:00:00.350000+00:00,order-service,/createOrder,payment-service,/authorize,47.9,47.9,45
trace00003,span00015,span00012,2025-11-21 15:00:00.350000+00:00,order-service,/createOrder,inventory-service,/reserve,51.8,51.8,45
trace00003,span00016,span00013,2025-11-21 15:00:00.360000+00:00,cart-service,/getCart,db-orders,/insertLineItems,21.2,21.2,45
trace00003,span00017,span00013,2025-11-21 15:00:00.360000+00:00,cart-service,/getCart,db-cache,/updateCartCache,10.0,10.0,45
trace00003,span00018,span00014,2025-11-21 15:00:00.398000+00:00,payment-service,/authorize,db-payments,/insertPayment,34.3,34.3,45
trace00003,span00019,span00014,2025-11-21 15:00:00.398000+00:00,payment-service,/authorize,db-logs,/insertPaymentLog,27.7,27.7,45
trace00003,span00020,span00015,2025-11-21 15:00:00.402000+00:00,inventory-service,/reserve,db-inventory,/reserveItems,40.8,40.8,45
trace00003,span00021,span00012,2025-11-21 15:00:00.452000+00:00,order-service,/createOrder,db-orders,/finalizeOrder,48.7,48.7,45
trace00003,span00022,span00012,2025-11-21 15:00:00.452000+00:00,order-service,/createOrder,db-logs,/insertOrderAudit,21.9,21.9,45
trace00004,span00023,,2025-11-21 15:00:00.554000+00:00,api-gateway,/v1/orders,order-service,/createOrder,21.7,21.7,45
trace00004,span00024,span00023,2025-11-21 15:00:00.576000+00:00,order-service,/createOrder,cart-service,/getCart,18.2,18.2,45
trace00004,span00025,span00023,2025-11-21 15:00:00.576000+00:00,order-service,/createOrder,payment-service,/authorize,27.2,27.2,45
trace00004,span00026,span00023,2025-11-21 15:00:00.576000+00:00,order-service,/createOrder,inventory-service,/reserve,41.0,41.0,45
trace00004,span00027,span00024,2025-11-21 15:00:00.594000+00:00,cart-service,/getCart,db-orders,/insertLineItems,25.3,25.3,45
trace00004,span00028,span00024,2025-11-21 15:00:00.594000+00:00,cart-service,/getCart,db-cache,/updateCartCache,12.7,12.7,45
trace00004,span00029,span00025,2025-11-21 15:00:00.603000+00:00,payment-service,/authorize,db-payments,/insertPayment,20.2,20.2,45
trace00004,span00030,span00025,2025-11-21 15:00:00.603000+00:00,payment-service,/authorize,db-logs,/insertPaymentLog,16.4,16.4,45
trace00004,span00031,span00026,2025-11-21 15:00:00.617000+00:00,inventory-service,/reserve,db-inventory,/reserveItems,20.5,20.5,45
trace00004,span00032,span00023,2025-11-21 15:00:00.667000+00:00,order-service,/createOrder,db-orders,/finalizeOrder,24.0,24.0,45
trace00004,span00033,span00023,2025-11-21 15:00:00.667000+00:00,order-service,/createOrder,db-logs,/insertOrderAudit,19.5,19.5,45
trace00005,span00034,,2025-11-21 15:00:00.782000+00:00,api-gateway,/v1/profile,profile-service,/getProfile,32.9,32.9,45
trace00005,span00035,span00034,2025-11-21 15:00:00.815000+00:00,profile-service,/getProfile,user-service,/getUser,20.3,20.3,45
trace00005,span00036,span00035,2025-11-21 15:00:00.835000+00:00,user-service,/getUser,db-users,/queryUser,36.1,36.1,45
trace00005,span00037,span00034,2025-11-21 15:00:00.815000+00:00,profile-service,/getProfile,recommendation-service,/getUserRecommendations,28.2,28.2,45
trace00005,span00038,span00037,2025-11-21 15:00:00.843000+00:00,recommendation-service,/getUserRecommendations,db-recommendation,/queryRecs,32.5,32.5,45
trace00005,span00039,span00037,2025-11-21 15:00:00.843000+00:00,recommendation-service,/getUserRecommendations,db-analytics,/updateRecStats,33.4,33.4,45
trace00006,span00040,,2025-11-21 15:00:00.916000+00:00,api-gateway,/timeline,timeline-service,/getTimeline,15.9,15.9,45
trace00006,span00041,span00040,2025-11-21 15:00:00.932000+00:00,timeline-service,/getTimeline,post-service,/getUserPosts,25.2,25.2,45
trace00006,span00042,span00041,2025-11-21 15:00:00.957000+00:00,post-service,/getUserPosts,user-service,/getUser,24.5,24.5,45
trace00006,span00043,span00041,2025-11-21 15:00:00.957000+00:00,post-service,/getUserPosts,db-logs,/insertFeedLog,9.3,9.3,45
trace00006,span00044,span00042,2025-11-21 15:00:00.981000+00:00,user-service,/getUser,db-users,/queryUser,30.7,30.7,45
trace00006,span00045,span00041,2025-11-21 15:00:00.957000+00:00,post-service,/getUserPosts,db-analytics,/updateFeedStats,28.9,28.9,45
trace00007,span00046,,2025-11-21 15:00:01.058000+00:00,api-gateway,/v1/login,auth-service,/verify,24.4,24.4,47
trace00007,span00047,span00046,2025-11-21 15:00:01.082000+00:00,auth-service,/verify,cache-service,/checkToken,5.1,5.1,47
trace00007,span00048,span00046,2025-11-21 15:00:01.087000+00:00,auth-service,/verify,user-service,/getUser,10.7,10.7,47
trace00007,span00049,span00048,2025-11-21 15:00:01.098000+00:00,user-service,/getUser,db-users,/queryUser,23.0,23.0,47
trace00007,span00050,span00048,2025-11-21 15:00:01.098000+00:00,user-service,/getUser,db-logs,/insertAuthLog,16.8,16.8,47
trace00008,span00051,,2025-11-21 15:00:01.127000+00:00,api-gateway,/v1/orders,order-service,/createOrder,25.3,25.3,47
trace00008,span00052,span00051,2025-11-21 15:00:01.152000+00:00,order-service,/createOrder,cart-service,/getCart,15.1,15.1,47
trace00008,span00053,span00051,2025-11-21 15:00:01.152000+00:00,order-service,/createOrder,payment-service,/authorize,58.0,58.0,47
trace00008,span00054,span00051,2025-11-21 15:00:01.152000+00:00,order-service,/createOrder,inventory-service,/reserve,43.4,43.4,47
trace00008,span00055,span00052,2025-11-21 15:00:01.167000+00:00,cart-service,/getCart,db-orders,/insertLineItems,22.8,22.8,47
trace00008,span00056,span00052,2025-11-21 15:00:01.167000+00:00,cart-service,/getCart,db-cache,/updateCartCache,14.4,14.4,47
trace00008,span00057,span00053,2025-11-21 15:00:01.210000+00:00,payment-service,/authorize,db-payments,/insertPayment,42.7,42.7,47
trace00008,span00058,span00053,2025-11-21 15:00:01.210000+00:00,payment-service,/authorize,db-logs,/insertPaymentLog,10.6,10.6,47
trace00008,span00059,span00054,2025-11-21 15:00:01.195000+00:00,inventory-service,/reserve,db-inventory,/reserveItems,24.7,24.7,47
trace00008,span00060,span00051,2025-11-21 15:00:01.260000+00:00,order-service,/createOrder,db-orders,/finalizeOrder,45.3,45.3,47
trace00008,span00061,span00051,2025-11-21 15:00:01.260000+00:00,order-service,/createOrder,db-logs,/insertOrderAudit,22.7,22.7,47
trace00009,span00062,,2025-11-21 15:00:01.359000+00:00,api-gateway,/timeline,timeline-service,/getTimeline,29.8,29.8,47
trace00009,span00063,span00062,2025-11-21 15:00:01.389000+00:00,timeline-service,/getTimeline,post-service,/getUserPosts,14.9,14.9,47
trace00009,span00064,span00063,2025-11-21 15:00:01.404000+00:00,post-service,/getUserPosts,user-service,/getUser,16.4,16.4,47
